Voter_ID,County,Candidate
1323913,Jefferson,Charles Casper Stockham
1005842,Jefferson,Charles Casper Stockham
1880345,Jefferson,Charles Casper Stockham
1600337,Jefferson,Charles Casper Stockham
1835994,Jefferson,Charles Casper Stockham
1772756,Jefferson,Charles Casper Stockham
1920023,Jefferson,Charles Casper Stockham
1040408,Jefferson,Charles Casper Stockham
1018414,Jefferson,Charles Casper Stockham
1361118,Jefferson,Charles Casper Stockham
1045722,Jefferson,Charles Casper Stockham
1006975,Jefferson,Charles Casper Stockham
1489642,Jefferson,Charles Casper Stockham
1456389,Jefferson,Charles Casper Stockham
1936969,Jefferson,Charles Casper Stockham
1356658,Jefferson,Charles Casper Stockham
1651667,Jefferson,Charles Casper Stockham
1833621,Jefferson,Charles Casper Stockham
1730001,Jefferson,Charles Casper Stockham
1059252,Jefferson,Charles Casper Stockham
1279893,Jefferson,Charles Casper Stockham
1100426,Jefferson,Charles Casper Stockham
1855823,Jefferson,Charles Casper Stockham
1951080,Jefferson,Charles Casper Stockham
1345091,Jefferson,Charles Casper Stockham
1113764,Jefferson,Charles Casper Stockham
1366270,Jefferson,Charles Casper Stockham
1431431,Jefferson,Charles Casper Stockham
1402951,Jefferson,Charles Casper Stockham
1708981,Jefferson,Charles Casper Stockham
1245209,Jefferson,Charles Casper Stockham
1046171,Jefferson,Charles Casper Stockham
1418131,Jefferson,Charles Casper Stockham
1713581,Jefferson,Charles Casper Stockham
1353343,Jefferson,Charles Casper Stockham
1176460,Jefferson,Charles Casper Stockham
1297739,Jefferson,Charles Casper Stockham
1991199,Jefferson,Charles Casper Stockham
1532445,Jefferson,Charles Casper Stockham
1884329,Jefferson,Charles Casper Stockham
1104694,Jefferson,Charles Casper Stockham
1754412,Jefferson,Charles Casper Stockham
1172260,Jefferson,Charles Casper Stockham
1236187,Jefferson,Charles Casper Stockham
1630539,Jefferson,Charles Casper Stockham
1089226,Jefferson,Charles Casper Stockham
1128099,Jefferson,Charles Casper Stockham
1767213,Jefferson,Charles Casper Stockham
1429526,Jefferson,Charles Casper Stockham
1870348,Jefferson,Charles Casper Stockham
1286907,Jefferson,Charles Casper Stockham
1020447,Jefferson,Charles Casper Stockham
1918463,Jefferson,Charles Casper Stockham
1038864,Jefferson,Charles Casper Stockham
1222247,Jefferson,Charles Casper Stockham
1720375,Jefferson,Charles Casper Stockham
1436548,Jefferson,Charles Casper Stockham
1665518,Jefferson,Charles Casper Stockham
1591563,Jefferson,Charles Casper Stockham
1309674,Jefferson,Charles Casper Stockham
1148557,Jefferson,Charles Casper Stockham
1255268,Jefferson,Charles Casper Stockham
1372790,Jefferson,Charles Casper Stockham
1240771,Jefferson,Charles Casper Stockham
1489979,Jefferson,Charles Casper Stockham
1018662,Jefferson,Charles Casper Stockham
1070029,Jefferson,Charles Casper Stockham
1499371,Jefferson,Charles Casper Stockham
1140828,Jefferson,Charles Casper Stockham
1717909,Jefferson,Charles Casper Stockham
